opprettet,Første,Andre,Tredje,Fjerde,Femte,Sjette,Syvende
2021-06-30,462.0,329.0,372.0,84.0,170.94,164.5,483.6
2021-07-01,262.0,275.0,244.0,61.0,96.94,137.5,317.2
2021-07-02,286.0,347.0,163.0,48.0,105.82,173.5,211.9
2021-07-03,1.0,2.0,6.0,,0.37,1.0,7.800000000000001
2021-07-04,5.0,3.0,11.0,1.0,1.85,1.5,14.3
2021-07-05,663.0,605.0,379.0,93.0,245.31,302.5,492.7
2021-07-06,219.0,256.0,112.0,32.0,81.03,128.0,145.6
2021-07-07,225.0,275.0,150.0,29.0,83.25,137.5,195.0
2021-07-08,158.0,285.0,183.0,24.0,58.46,142.5,237.9
2021-07-09,270.0,260.0,192.0,35.0,99.9,130.0,249.60000000000002
2021-07-10,2.0,3.0,4.0,1.0,0.74,1.5,5.2
2021-07-11,6.0,5.0,10.0,2.0,2.2199999999999998,2.5,13.0
2021-07-12,558.0,419.0,304.0,75.0,206.46,209.5,395.2
2021-07-13,224.0,217.0,112.0,44.0,82.88,108.5,145.6
2021-07-14,175.0,191.0,103.0,29.0,64.75,95.5,133.9
2021-07-15,143.0,191.0,91.0,42.0,52.91,95.5,118.3
2021-07-16,233.0,179.0,131.0,41.0,86.21,89.5,170.3
2021-07-17,3.0,1.0,3.0,1.0,1.1099999999999999,0.5,3.9000000000000004
2021-07-18,7.0,2.0,8.0,1.0,2.59,1.0,10.4
2021-07-19,521.0,367.0,277.0,75.0,192.77,183.5,360.1
2021-07-20,195.0,171.0,131.0,25.0,72.15,85.5,170.3
2021-07-21,122.0,138.0,101.0,30.0,45.14,69.0,131.3
2021-07-22,139.0,135.0,92.0,31.0,51.43,67.5,119.60000000000001
2021-07-23,174.0,127.0,111.0,38.0,64.38,63.5,144.3
2021-07-24,41.0,8.0,21.0,11.0,15.17,4.0,27.3
2021-07-25,7.0,2.0,11.0,1.0,2.59,1.0,14.3
2021-07-26,337.0,211.0,199.0,51.0,124.69,105.5,258.7
2021-07-27,165.0,168.0,92.0,24.0,61.05,84.0,119.60000000000001
2021-07-28,186.0,162.0,94.0,23.0,68.82,81.0,122.2
2021-07-29,147.0,156.0,115.0,22.0,54.39,78.0,149.5
2021-07-30,171.0,127.0,115.0,39.0,63.269999999999996,63.5,149.5
2021-07-31,13.0,4.0,40.0,5.0,4.81,2.0,52.0
2021-08-01,8.0,4.0,33.0,4.0,2.96,2.0,42.9
2021-08-02,783.0,304.0,615.0,113.0,289.71,152.0,799.5
2021-08-03,198.0,217.0,165.0,34.0,73.26,108.5,214.5
2021-08-04,179.0,233.0,141.0,31.0,66.23,116.5,183.3
2021-08-05,200.0,216.0,112.0,30.0,74.0,108.0,145.6
2021-08-06,215.0,191.0,103.0,33.0,79.55,95.5,133.9
2021-08-07,1.0,2.0,3.0,4.0,0.37,1.0,3.9000000000000004
2021-08-08,10.0,,23.0,7.0,3.7,,29.900000000000002
2021-08-09,1503.0,345.0,1076.0,131.0,556.11,172.5,1398.8
2021-08-10,517.0,283.0,377.0,52.0,191.29,141.5,490.1
2021-08-11,497.0,232.0,265.0,43.0,183.89,116.0,344.5
2021-08-12,265.0,197.0,122.0,28.0,98.05,98.5,158.6
2021-08-13,275.0,174.0,128.0,40.0,101.75,87.0,166.4
2021-08-14,103.0,18.0,39.0,12.0,38.11,9.0,50.7
2021-08-15,14.0,3.0,19.0,2.0,5.18,1.5,24.7
2021-08-16,1026.0,300.0,378.0,107.0,379.62,150.0,491.40000000000003
2021-08-17,256.0,212.0,149.0,51.0,94.72,106.0,193.70000000000002
2021-08-18,245.0,204.0,110.0,38.0,90.65,102.0,143.0
2021-08-19,219.0,218.0,121.0,36.0,81.03,109.0,157.3
2021-08-20,263.0,198.0,118.0,42.0,97.31,99.0,153.4
2021-08-21,55.0,15.0,28.0,12.0,20.35,7.5,36.4
2021-08-22,5.0,2.0,8.0,2.0,1.85,1.0,10.4
2021-08-23,649.0,413.0,310.0,113.0,240.13,206.5,403.0
2021-08-24,314.0,264.0,121.0,44.0,116.17999999999999,132.0,157.3
2021-08-25,242.0,222.0,105.0,37.0,89.53999999999999,111.0,136.5
2021-08-26,167.0,226.0,91.0,36.0,61.79,113.0,118.3
2021-08-27,206.0,211.0,108.0,47.0,76.22,105.5,140.4
2021-08-28,32.0,17.0,25.0,17.0,11.84,8.5,32.5
2021-08-29,,5.0,10.0,2.0,,2.5,13.0
2021-08-30,458.0,417.0,274.0,114.0,169.46,208.5,356.2
2021-08-31,512.0,343.0,404.0,133.0,189.44,171.5,525.2
2021-09-01,323.0,290.0,187.0,77.0,119.51,145.0,243.1
2021-09-02,202.0,259.0,106.0,54.0,74.74,129.5,137.8
2021-09-03,213.0,316.0,121.0,54.0,78.81,158.0,157.3
2021-09-04,,2.0,1.0,,,1.0,1.3
2021-09-05,2.0,4.0,4.0,,0.74,2.0,5.2
2021-09-06,536.0,571.0,326.0,129.0,198.32,285.5,423.8
2021-09-07,252.0,298.0,143.0,62.0,93.24,149.0,185.9
2021-09-08,176.0,301.0,104.0,53.0,65.12,150.5,135.20000000000002
2021-09-09,177.0,236.0,113.0,52.0,65.49,118.0,146.9
2021-09-10,226.0,216.0,102.0,43.0,83.62,108.0,132.6
2021-09-11,43.0,27.0,33.0,23.0,15.91,13.5,42.9
2021-09-12,2.0,4.0,10.0,1.0,0.74,2.0,13.0
2021-09-13,528.0,489.0,231.0,121.0,195.35999999999999,244.5,300.3
2021-09-14,239.0,304.0,111.0,58.0,88.42999999999999,152.0,144.3
2021-09-15,202.0,289.0,132.0,58.0,74.74,144.5,171.6
2021-09-16,182.0,255.0,120.0,59.0,67.34,127.5,156.0
2021-09-17,209.0,370.0,110.0,45.0,77.33,185.0,143.0
2021-09-18,43.0,25.0,13.0,17.0,15.91,12.5,16.900000000000002
2021-09-19,1.0,3.0,6.0,2.0,0.37,1.5,7.800000000000001
2021-09-20,588.0,452.0,268.0,115.0,217.56,226.0,348.40000000000003
2021-09-21,230.0,301.0,145.0,52.0,85.1,150.5,188.5
2021-09-22,204.0,279.0,122.0,58.0,75.48,139.5,158.6
2021-09-23,178.0,281.0,87.0,33.0,65.86,140.5,113.10000000000001
2021-09-24,276.0,371.0,145.0,62.0,102.12,185.5,188.5
2021-09-25,32.0,16.0,21.0,23.0,11.84,8.0,27.3
